acceleration_rms_g,frequency_hz,normalized_frequency,frequency_over_unloaded_omega1,omega,transverse_peak,longitudinal_minimum,rotation_peak,periodicity_error,cycles,accepted_steps,rejected_steps,total_energy_change,material_dissipation,jump_dissipation,left_boundary_dissipation,right_boundary_dissipation,physical_root_work,sat_data_work,ledger_residual,relative_ledger_residual
0.5,7.5115011324113894,0.8231814788683266,0.80045887787303982,2.8144256364081053,0.12360329543984885,-0.0088796133540557376,0.16915689733641198,0.00031994593632467261,80,8823,639,-3.8368933298366104e-05,0.0015679673633592426,4.333839299038734e-07,27.078315927656565,1.0498165642707215e-07,0.0015196212207819544,27.078326463969656,-2.0738230688266412e-08,7.6581680912564125e-10
0.5,7.7460679953041049,0.84888753864063504,0.82545536320233459,2.9023136604847455,0.14211460916858698,-0.011766912601345325,0.19497324880412259,0.00034576275495511177,90,2605,173,9.3266138360137418e-05,0.0021405907961633036,7.6451097138921157e-07,24.692065637282631,2.0743659625047492e-07,0.002210442694090143,24.692090028714727,-5.2440931597175222e-09,2.1236046616461799e-10
0.5,7.9806347312670587,0.87459358450277724,0.85045183500543098,2.9902016370030653,0.16758468357786988,-0.016420248244028102,0.23066587205177305,0.00044850184803543747,90,3067,165,0.00012496081099694356,0.0030745800368386861,1.496318767051234e-06,22.578126238913214,4.5301586326499208e-07,0.0031498382268143658,22.578177881462711,9.4061540778511699e-09,4.1654566084923265e-10
0.5,8.2152208233603048,0.90030175159311054,0.8754503694836252,3.0780968659185239,0.20552817547904118,-0.024842067921615807,0.28427335907011558,0.00023389246725495638,110,4644,225,-7.3228742594522167e-05,0.0047837872130933731,3.4432817023805876e-06,20.698539017491576,1.1595909841358581e-06,0.0046021814311275281,20.698651973589698,2.3813935712269085e-08,1.1502467812760019e-09
0.5,8.449797237388406,0.92600885806934852,0.90044787262427062,3.1659884686354141,0.26469164468155776,-0.041659362973481828,0.36920995449151617,0.00032107762716698796,110,7126,478,2.6460629067914798e-05,0.0082693316052906991,9.8233089609294966e-06,19.021765140103902,3.6457550323246392e-06,0.0080380160599932398,19.022036393966921,-8.6246565444980661e-09,4.5321191912700821e-10
0.5,8.6843735546358545,0.9517159539394453,0.92544536545154044,3.2538800350903174,0.36489029408653523,-0.081208510244839549,0.51842383546020643,0.00044324408565021844,110,16028,1295,-0.00033432580426462355,0.016648132047951715,3.8337334606916592e-05,17.520547141406436,1.5363254219564929e-05,0.015591199092354903,17.521323422409161,2.6737435376844587e-08,1.5246083018162378e-09
0.5,8.9189403873794593,0.97742201040772847,0.9504418475680122,3.3417680478706231,0.5346712099023484,-0.18705475725663967,0.79800808667256484,0.00028109533867470837,130,23978,1336,-0.00015183888836856063,0.040231433580654972,0.00022147061167716658,16.170001913743135,9.0346953558303653e-05,0.037620307440830135,16.172773005504435,1.305539498730468e-08,8.0536433873808303e-10
0.5,9.1535167046269059,1.0031291062778251,0.97543934039528191,3.429659614325526,0.73924693193657876,-0.42923643847763604,1.2518777736171838,0.00020619983051828328,130,22384,1269,0.0003599399396083669,0.10078177582678545,0.0015401303781502522,14.943895368725622,0.00054373540773602024,0.093835527575644631,14.953285387189153,3.5513105345330587e-08,2.3601262691046634e-09
0.5,9.2942586818177109,1.0185529459179299,0.99043742974464988,3.4823931254762335,0.81989860786767854,-0.64448147921736321,1.5914011858301669,0.00031132906155699816,110,16108,746,0.00014848251666643719,0.16560464813111259,0.0051318948342111972,14.261494334443597,0.0014814699140896811,0.15788427296238305,14.275976570405646,-1.3528351772151836e-08,9.372649437983013e-10
0.5,9.3411664458816244,1.0236935432382079,0.99543612914231339,3.499968628881061,0.83276354572073608,-0.72483505009055693,1.7137632946827759,0.00033867299471967982,70,15925,693,-0.00077002724244001897,0.19441779498965694,0.007877431365447933,14.045191057157405,0.0021179971662119439,0.18920853123216225,14.05962568348167,3.872244747071818e-08,2.717440197495351e-09
