# Physical, constitutively consistent Kelvin-Voigt MMS
# generated_utc=2026-08-01T15:55:26.961
# julia_version=1.11.6
# trixi_commit=b5b1747b7a9f0a0fc34452d4222d35b0a26ac943
# trixi_worktree=clean
# julia_threads=1
# command=degree-split clean convergence campaign assembled without altering numerical rows
# elixir=/home/sundriyal/Projects/Trixi-damped-clean/examples/damped_intrinsic_beam/elixir_mms_rich_physical.jl
# rich_mms_lambda=2.0
# rich_mms_profile=exp1
# polydegs=1,2,3
# refinement_levels=2,3,4,5,6,7
# sigmas=1.0
# auxiliary_fluxes=alternating,br1
# rock4_abstol_reltol=1.0e-12
# error=arithmetic mean of six componentwise L2 errors at T=1
polydeg,refinement_level,ncells,h,hyperbolic_flux,auxiliary_flux,block,l2_error,eoc
1,2,4,2.5000000000000000e-01,upwind,alternating,u1,9.1905277966953317e-02,NaN
1,2,4,2.5000000000000000e-01,upwind,alternating,u2,7.5584488432024852e-02,NaN
1,2,4,2.5000000000000000e-01,upwind,alternating,r_tau,8.7813857296569087e-03,NaN
1,3,8,1.2500000000000000e-01,upwind,alternating,u1,2.4146941059274060e-02,1.92830728
1,3,8,1.2500000000000000e-01,upwind,alternating,u2,2.3907631801141156e-02,1.66061896
1,3,8,1.2500000000000000e-01,upwind,alternating,r_tau,4.1468930097062319e-03,1.08241779
1,4,16,6.2500000000000000e-02,upwind,alternating,u1,5.4474284605526488e-03,2.14819319
1,4,16,6.2500000000000000e-02,upwind,alternating,u2,6.8433991572276242e-03,1.80468623
1,4,16,6.2500000000000000e-02,upwind,alternating,r_tau,1.7303814583594626e-03,1.26094071
1,5,32,3.1250000000000000e-02,upwind,alternating,u1,1.2203388113939996e-03,2.15829360
1,5,32,3.1250000000000000e-02,upwind,alternating,u2,1.8205290992286181e-03,1.91035530
1,5,32,3.1250000000000000e-02,upwind,alternating,r_tau,6.7599062085610493e-04,1.35601498
1,6,64,1.5625000000000000e-02,upwind,alternating,u1,3.1982647388689749e-04,1.93192048
1,6,64,1.5625000000000000e-02,upwind,alternating,u2,4.7041370886187738e-04,1.95235579
1,6,64,1.5625000000000000e-02,upwind,alternating,r_tau,2.5365162059661980e-04,1.41415485
1,7,128,7.8125000000000000e-03,upwind,alternating,u1,9.0113349871917092e-05,1.82747661
1,7,128,7.8125000000000000e-03,upwind,alternating,u2,1.1964765555876148e-04,1.97513798
1,7,128,7.8125000000000000e-03,upwind,alternating,r_tau,8.3634087732766275e-05,1.60068539
1,2,4,2.5000000000000000e-01,upwind,br1,u1,9.5108624244089113e-02,NaN
1,2,4,2.5000000000000000e-01,upwind,br1,u2,7.5417565660705108e-02,NaN
1,2,4,2.5000000000000000e-01,upwind,br1,r_tau,7.3165566511636188e-03,NaN
1,3,8,1.2500000000000000e-01,upwind,br1,u1,2.6305669620161957e-02,1.85420239
1,3,8,1.2500000000000000e-01,upwind,br1,u2,2.3914019549124213e-02,1.65704394
