# Componentwise physical Kelvin-Voigt MMS errors
# generated_utc=2026-08-01T15:55:26.463
# julia_version=1.11.6
# trixi_commit=b5b1747b7a9f0a0fc34452d4222d35b0a26ac943
# trixi_worktree=clean
# julia_threads=1
# command=degree-split clean convergence campaign assembled without altering numerical rows
# elixir=/home/sundriyal/Projects/Trixi-damped-clean/examples/damped_intrinsic_beam/elixir_mms_rich_physical.jl
# rich_mms_lambda=2.0
# rich_mms_profile=exp1
# polydegs=1,2,3
# refinement_levels=2,3,4,5,6,7
# sigmas=1.0
# auxiliary_fluxes=alternating,br1
# rock4_abstol_reltol=1.0e-12
polydeg,refinement_level,ncells,h,hyperbolic_flux,auxiliary_flux,component_index,block,component,l2_error,l2_eoc,linf_error,linf_eoc
1,2,4,2.5000000000000000e-01,upwind,alternating,1,u1,v1,1.3267893643364845e-01,NaN,2.7597019554303515e-01,NaN
1,2,4,2.5000000000000000e-01,upwind,alternating,2,u1,v2,9.6054059439369788e-02,NaN,1.7759031421878291e-01,NaN
1,2,4,2.5000000000000000e-01,upwind,alternating,3,u1,v3,1.5152828835783055e-01,NaN,5.3242556543304076e-01,NaN
1,2,4,2.5000000000000000e-01,upwind,alternating,4,u1,omega1,7.3733386089440273e-02,NaN,1.5413218888601676e-01,NaN
1,2,4,2.5000000000000000e-01,upwind,alternating,5,u1,omega2,2.9704002604424330e-02,NaN,8.1312416888376760e-02,NaN
1,2,4,2.5000000000000000e-01,upwind,alternating,6,u1,omega3,6.7732994877006486e-02,NaN,2.7482821259770951e-01,NaN
1,2,4,2.5000000000000000e-01,upwind,alternating,7,u2,f1,1.6467322571324503e-01,NaN,3.1117067842795088e-01,NaN
1,2,4,2.5000000000000000e-01,upwind,alternating,8,u2,f2,1.4838048092104655e-01,NaN,2.8996319272069648e-01,NaN
1,2,4,2.5000000000000000e-01,upwind,alternating,9,u2,f3,7.7290210296755840e-02,NaN,2.2951075946104948e-01,NaN
1,2,4,2.5000000000000000e-01,upwind,alternating,10,u2,m1,1.2795388460362460e-02,NaN,2.6284567515031554e-02,NaN
1,2,4,2.5000000000000000e-01,upwind,alternating,11,u2,m2,2.0216381459699579e-02,NaN,5.9537293272591829e-02,NaN
1,2,4,2.5000000000000000e-01,upwind,alternating,12,u2,m3,3.0151243741039651e-02,NaN,8.1826856850235385e-02,NaN
1,3,8,1.2500000000000000e-01,upwind,alternating,1,u1,v1,3.1049127517132319e-02,2.09531472,8.9895231426655897e-02,1.61819597
1,3,8,1.2500000000000000e-01,upwind,alternating,2,u1,v2,2.4122408376918515e-02,1.99347263,5.0376710651278245e-02,1.81772407
1,3,8,1.2500000000000000e-01,upwind,alternating,3,u1,v3,4.0317861479712044e-02,1.91009613,1.7979487852423581e-01,1.56622792
1,3,8,1.2500000000000000e-01,upwind,alternating,4,u1,omega1,2.0995718798145678e-02,1.81222283,5.3570880197339577e-02,1.52464728
1,3,8,1.2500000000000000e-01,upwind,alternating,5,u1,omega2,9.3868285432829254e-03,1.66194763,3.7137720490784787e-02,1.13059041
1,3,8,1.2500000000000000e-01,upwind,alternating,6,u1,omega3,1.9009701640452840e-02,1.83312290,1.0006251791705711e-01,1.45762845
1,3,8,1.2500000000000000e-01,upwind,alternating,7,u2,f1,4.7620110842362104e-02,1.78996312,8.9323910936555784e-02,1.80058780
1,3,8,1.2500000000000000e-01,upwind,alternating,8,u2,f2,4.9922730387225063e-02,1.57153258,1.1882815544035230e-01,1.28699307
1,3,8,1.2500000000000000e-01,upwind,alternating,9,u2,f3,2.0977236365239092e-02,1.88146107,7.6187663737022682e-02,1.59093247
1,3,8,1.2500000000000000e-01,upwind,alternating,10,u2,m1,5.8316823460512028e-03,1.13363990,1.3233288186060510e-02,0.99004441
1,3,8,1.2500000000000000e-01,upwind,alternating,11,u2,m2,9.0654806156090957e-03,1.15706938,3.1489122909602374e-02,0.91894006
1,3,8,1.2500000000000000e-01,upwind,alternating,12,u2,m3,1.0028550250360356e-02,1.58810445,3.0224425216125339e-02,1.43685953
1,4,16,6.2500000000000000e-02,upwind,alternating,1,u1,v1,6.2297422069309905e-03,2.31730836,2.2151000001073839e-02,2.02087276
1,4,16,6.2500000000000000e-02,upwind,alternating,2,u1,v2,5.9703418172671182e-03,2.01448852,1.2376874981001151e-02,2.02510983
1,4,16,6.2500000000000000e-02,upwind,alternating,3,u1,v3,9.0753884115416846e-03,2.15138782,4.7447482043359912e-02,1.92194849
1,4,16,6.2500000000000000e-02,upwind,alternating,4,u1,omega1,4.6673951106565711e-03,2.16940567,1.7430159081913033e-02,1.61986326
1,4,16,6.2500000000000000e-02,upwind,alternating,5,u1,omega2,2.3413262146735991e-03,2.00331185,9.6180329254744734e-03,1.94907150
1,4,16,6.2500000000000000e-02,upwind,alternating,6,u1,omega3,4.4003770022459279e-03,2.11103685,2.6097485909602369e-02,1.93891892
1,4,16,6.2500000000000000e-02,upwind,alternating,7,u2,f1,1.3591598188503733e-02,1.80885587,3.1959902257188588e-02,1.48278342
1,4,16,6.2500000000000000e-02,upwind,alternating,8,u2,f2,1.4140187508241647e-02,1.81989559,3.5712516623417123e-02,1.73437500
1,4,16,6.2500000000000000e-02,upwind,alternating,9,u2,f3,5.2961368454610023e-03,1.98581232,2.1220159439854003e-02,1.84412192
1,4,16,6.2500000000000000e-02,upwind,alternating,10,u2,m1,2.2837534852542733e-03,1.35250521,5.6218193414634410e-03,1.23506259
1,4,16,6.2500000000000000e-02,upwind,alternating,11,u2,m2,2.9762215359156047e-03,1.60690159,1.1426992929605917e-02,1.46240777
1,4,16,6.2500000000000000e-02,upwind,alternating,12,u2,m3,2.7724973799894870e-03,1.85485506,8.5781739993551209e-03,1.81697242
1,5,32,3.1250000000000000e-02,upwind,alternating,1,u1,v1,1.3862408892614251e-03,2.16799449,5.2269291144710905e-03,2.08333633
1,5,32,3.1250000000000000e-02,upwind,alternating,2,u1,v2,1.5731580385969972e-03,1.92414992,3.4743731741926354e-03,1.83282247
1,5,32,3.1250000000000000e-02,upwind,alternating,3,u1,v3,1.9631520153680000e-03,2.20878750,7.8613425418616600e-03,2.59348391
1,5,32,3.1250000000000000e-02,upwind,alternating,4,u1,omega1,9.0844593119189293e-04,2.36114505,4.3314524078947869e-03,2.00866297
1,5,32,3.1250000000000000e-02,upwind,alternating,5,u1,omega2,5.8492317226596072e-04,2.00100691,2.1581894630617882e-03,2.15592034
1,5,32,3.1250000000000000e-02,upwind,alternating,6,u1,omega3,9.0611282167972333e-04,2.27986453,4.1935737912615068e-03,2.63765868
1,5,32,3.1250000000000000e-02,upwind,alternating,7,u2,f1,3.9663392200937654e-03,1.77683513,9.6115334415216580e-03,1.73342447
1,5,32,3.1250000000000000e-02,upwind,alternating,8,u2,f2,3.5160358462149044e-03,2.00777957,9.7553957726566054e-03,1.87215749
1,5,32,3.1250000000000000e-02,upwind,alternating,9,u2,f3,1.2206647277045010e-03,2.11727340,4.3100232083939094e-03,2.29966795
1,5,32,3.1250000000000000e-02,upwind,alternating,10,u2,m1,7.8199720185636646e-04,1.54617158,3.0199876034491258e-03,0.89649447
1,5,32,3.1250000000000000e-02,upwind,alternating,11,u2,m2,7.3992776050797098e-04,2.00802559,2.5431358748503330e-03,2.16776535
1,5,32,3.1250000000000000e-02,upwind,alternating,12,u2,m3,6.9820983899420157e-04,1.98945350,1.9574439617568995e-03,2.13169957
1,6,64,1.5625000000000000e-02,upwind,alternating,1,u1,v1,3.8016051585662916e-04,1.86649737,1.4520411134526512e-03,1.84788129
1,6,64,1.5625000000000000e-02,upwind,alternating,2,u1,v2,4.4976056611193657e-04,1.80643453,9.1111157004419852e-04,1.93105308
1,6,64,1.5625000000000000e-02,upwind,alternating,3,u1,v3,4.7876338773319787e-04,2.03578716,1.3738182891369632e-03,2.51658452
1,6,64,1.5625000000000000e-02,upwind,alternating,4,u1,omega1,1.9931355604127786e-04,2.18836081,7.7663181227283218e-04,2.47954816
1,6,64,1.5625000000000000e-02,upwind,alternating,5,u1,omega2,1.8381732784086268e-04,1.66997437,6.6765202512186761e-04,1.69265324
1,6,64,1.5625000000000000e-02,upwind,alternating,6,u1,omega3,2.2714348973748070e-04,1.99608674,9.8574377803384294e-04,2.08889564
1,6,64,1.5625000000000000e-02,upwind,alternating,7,u2,f1,1.0688550845147444e-03,1.89174180,2.5463456364676063e-03,1.91633836
1,6,64,1.5625000000000000e-02,upwind,alternating,8,u2,f2,8.2730605334265710e-04,2.08745674,2.4033131464307189e-03,2.02117576
1,6,64,1.5625000000000000e-02,upwind,alternating,9,u2,f3,3.4654819609181229e-04,1.81653908,1.0931970538827773e-03,1.97914216
1,6,64,1.5625000000000000e-02,upwind,alternating,10,u2,m1,2.1581704684922430e-04,1.85735462,8.6137510136374829e-04,1.80982910
1,6,64,1.5625000000000000e-02,upwind,alternating,11,u2,m2,1.8566125961949652e-04,1.99471162,5.7195042820346043e-04,2.15264653
1,6,64,1.5625000000000000e-02,upwind,alternating,12,u2,m3,1.7829461275332907e-04,1.96939758,4.8939002928094499e-04,1.99991439
1,7,128,7.8125000000000000e-03,upwind,alternating,1,u1,v1,1.1167958417402435e-04,1.76724322,3.5394350161510602e-04,2.03649131
1,7,128,7.8125000000000000e-03,upwind,alternating,2,u1,v2,1.2925115842151995e-04,1.79897996,2.7196670632179121e-04,1.74419768
1,7,128,7.8125000000000000e-03,upwind,alternating,3,u1,v3,1.3006434914351290e-04,1.88008726,4.5853883088042835e-04,1.58307538
1,7,128,7.8125000000000000e-03,upwind,alternating,4,u1,omega1,4.9766306221409996e-05,2.00179862,1.6701349663428289e-04,2.21726611
1,7,128,7.8125000000000000e-03,upwind,alternating,5,u1,omega2,5.6088445748964055e-05,1.71249726,2.2628748118158626e-04,1.56093960
1,7,128,7.8125000000000000e-03,upwind,alternating,6,u1,omega3,6.3830255522071320e-05,1.83129163,2.8311061718699904e-04,1.79984685
1,7,128,7.8125000000000000e-03,upwind,alternating,7,u2,f1,2.7369423020687044e-04,1.96542934,6.6598537320317064e-04,1.93486586
1,7,128,7.8125000000000000e-03,upwind,alternating,8,u2,f2,1.9694309298242768e-04,2.07064232,6.2360365503399962e-04,1.94632335
1,7,128,7.8125000000000000e-03,upwind,alternating,9,u2,f3,9.9683809251138663e-05,1.79762490,3.6213843928822875e-04,1.59394025
1,7,128,7.8125000000000000e-03,upwind,alternating,10,u2,m1,5.4604688232798897e-05,1.98271210,2.2082186379579483e-04,1.96375860
1,7,128,7.8125000000000000e-03,upwind,alternating,11,u2,m2,4.7401882434859466e-05,1.96965655,1.4713077785555306e-04,1.95879104
1,7,128,7.8125000000000000e-03,upwind,alternating,12,u2,m3,4.5558230244473796e-05,1.96847950,1.2501933074349214e-04,1.96883352
1,2,4,2.5000000000000000e-01,upwind,br1,1,u1,v1,1.3527861002807534e-01,NaN,2.7295367737333365e-01,NaN
1,2,4,2.5000000000000000e-01,upwind,br1,2,u1,v2,9.5736373196877680e-02,NaN,1.7564340666043421e-01,NaN
1,2,4,2.5000000000000000e-01,upwind,br1,3,u1,v3,1.6270130932480578e-01,NaN,5.1998126817236034e-01,NaN
1,2,4,2.5000000000000000e-01,upwind,br1,4,u1,omega1,7.7464611154597601e-02,NaN,1.6635628368331279e-01,NaN
