# Componentwise physical Kelvin-Voigt MMS errors
# generated_utc=2026-08-01T16:16:39.917
# julia_version=1.11.6
# trixi_commit=b5b1747b7a9f0a0fc34452d4222d35b0a26ac943
# trixi_worktree=clean
# julia_threads=1
# command=examples/damped_intrinsic_beam/results/mms_rich_exp1_clean_tight_k3.csv examples/damped_intrinsic_beam/results/mms_rich_exp1_clean_tight_k3_componentwise.csv examples/damped_intrinsic_beam/results/mms_rich_exp1_clean_tight_k3_viscous_componentwise.csv
# elixir=/home/sundriyal/Projects/Trixi-damped-clean/examples/damped_intrinsic_beam/elixir_mms_rich_physical.jl
# rich_mms_lambda=2.0
# rich_mms_profile=exp1
# polydegs=3
# refinement_levels=6,7
# sigmas=1.0
# auxiliary_fluxes=alternating
# rock4_abstol_reltol=1.0e-13
polydeg,refinement_level,ncells,h,hyperbolic_flux,auxiliary_flux,component_index,block,component,l2_error,l2_eoc,linf_error,linf_eoc
3,6,64,1.5625000000000000e-02,upwind,alternating,1,u1,v1,4.4190031364925506e-10,NaN,2.5861517372050002e-09,NaN
3,6,64,1.5625000000000000e-02,upwind,alternating,2,u1,v2,5.6400287193999422e-10,NaN,3.6905341005422088e-09,NaN
3,6,64,1.5625000000000000e-02,upwind,alternating,3,u1,v3,3.5272813356814720e-10,NaN,2.5039170736818051e-09,NaN
3,6,64,1.5625000000000000e-02,upwind,alternating,4,u1,omega1,1.6273407078657892e-10,NaN,9.7038022062179152e-10,NaN
3,6,64,1.5625000000000000e-02,upwind,alternating,5,u1,omega2,1.7354720905969705e-10,NaN,1.1859455639751104e-09,NaN
3,6,64,1.5625000000000000e-02,upwind,alternating,6,u1,omega3,1.8203110574458836e-10,NaN,1.2765681844939536e-09,NaN
3,6,64,1.5625000000000000e-02,upwind,alternating,7,u2,f1,1.1218162294866787e-09,NaN,3.3063223270346498e-09,NaN
3,6,64,1.5625000000000000e-02,upwind,alternating,8,u2,f2,1.0088859737330821e-09,NaN,3.2705225194717968e-09,NaN
3,6,64,1.5625000000000000e-02,upwind,alternating,9,u2,f3,5.2739382137374716e-10,NaN,1.5161376598626930e-09,NaN
3,6,64,1.5625000000000000e-02,upwind,alternating,10,u2,m1,2.9268717190785435e-10,NaN,7.0560945975017830e-10,NaN
3,6,64,1.5625000000000000e-02,upwind,alternating,11,u2,m2,2.0432276413552263e-10,NaN,8.8783325136176927e-10,NaN
3,6,64,1.5625000000000000e-02,upwind,alternating,12,u2,m3,2.9073574844779130e-10,NaN,7.4017225681899390e-10,NaN
3,7,128,7.8125000000000000e-03,upwind,alternating,1,u1,v1,3.1586615005598418e-11,3.80633571,1.9732127043425862e-10,3.71218854
3,7,128,7.8125000000000000e-03,upwind,alternating,2,u1,v2,3.5564951066695101e-11,3.98717443,2.2971846647124039e-10,4.00589088
3,7,128,7.8125000000000000e-03,upwind,alternating,3,u1,v3,2.2658275297680381e-11,3.96044669,1.5202950010007044e-10,4.04176358
3,7,128,7.8125000000000000e-03,upwind,alternating,4,u1,omega1,1.1138489414827243e-11,3.86889084,7.0801142726395483e-11,3.77670559
3,7,128,7.8125000000000000e-03,upwind,alternating,5,u1,omega2,1.1412847216103927e-11,3.92659751,7.6315842534313560e-11,3.95791140
3,7,128,7.8125000000000000e-03,upwind,alternating,6,u1,omega3,1.1498952992123457e-11,3.98461059,7.6537887139238592e-11,4.05995271
3,7,128,7.8125000000000000e-03,upwind,alternating,7,u2,f1,7.7154298847952565e-11,3.86194601,2.3082336042534735e-10,3.84036623
3,7,128,7.8125000000000000e-03,upwind,alternating,8,u2,f2,6.1660435589669809e-11,4.03227424,1.8488677255845687e-10,4.14480723
3,7,128,7.8125000000000000e-03,upwind,alternating,9,u2,f3,3.3316732685237274e-11,3.98456184,9.0120799711712607e-11,4.07239682
3,7,128,7.8125000000000000e-03,upwind,alternating,10,u2,m1,1.7434753214456983e-11,4.06932167,4.4584336222897036e-11,3.98426106
3,7,128,7.8125000000000000e-03,upwind,alternating,11,u2,m2,1.4363347851369433e-11,3.83038599,4.8950843378747777e-11,4.18088312
3,7,128,7.8125000000000000e-03,upwind,alternating,12,u2,m3,1.7445220687743237e-11,4.05880472,4.0602410322776450e-11,4.18822378
