# Componentwise numerical Kelvin-Voigt resultant errors
# r_tau is reconstructed from Trixi's discrete auxiliary gradient
# generated_utc=2026-08-01T16:16:40.097
# julia_version=1.11.6
# trixi_commit=b5b1747b7a9f0a0fc34452d4222d35b0a26ac943
# trixi_worktree=clean
# julia_threads=1
# command=examples/damped_intrinsic_beam/results/mms_rich_exp1_clean_tight_k3.csv examples/damped_intrinsic_beam/results/mms_rich_exp1_clean_tight_k3_componentwise.csv examples/damped_intrinsic_beam/results/mms_rich_exp1_clean_tight_k3_viscous_componentwise.csv
# elixir=/home/sundriyal/Projects/Trixi-damped-clean/examples/damped_intrinsic_beam/elixir_mms_rich_physical.jl
# rich_mms_lambda=2.0
# rich_mms_profile=exp1
# polydegs=3
# refinement_levels=6,7
# sigmas=1.0
# auxiliary_fluxes=alternating
# rock4_abstol_reltol=1.0e-13
polydeg,refinement_level,ncells,h,hyperbolic_flux,auxiliary_flux,component_index,component,l2_error,l2_eoc,linf_error,linf_eoc
3,6,64,1.5625000000000000e-02,upwind,alternating,1,r_tau_f1,7.1189423268455185e-10,NaN,5.2918378845578928e-09,NaN
3,6,64,1.5625000000000000e-02,upwind,alternating,2,r_tau_f2,6.1085366720476618e-10,NaN,4.9068916152528175e-09,NaN
3,6,64,1.5625000000000000e-02,upwind,alternating,3,r_tau_f3,2.7304755963113281e-10,NaN,2.2214721451252473e-09,NaN
3,6,64,1.5625000000000000e-02,upwind,alternating,4,r_tau_m1,1.3219569902594920e-10,NaN,1.0527801408422022e-09,NaN
3,6,64,1.5625000000000000e-02,upwind,alternating,5,r_tau_m2,1.5907258470709768e-10,NaN,1.2880052718822199e-09,NaN
3,6,64,1.5625000000000000e-02,upwind,alternating,6,r_tau_m3,1.2275789554969469e-10,NaN,1.0017850021748487e-09,NaN
3,7,128,7.8125000000000000e-03,upwind,alternating,1,r_tau_f1,5.0751557403845608e-11,3.81013891,4.1952352702878670e-10,3.65694524
3,7,128,7.8125000000000000e-03,upwind,alternating,2,r_tau_f2,3.8190313549296193e-11,3.99954815,3.2337199584731025e-10,3.92354275
3,7,128,7.8125000000000000e-03,upwind,alternating,3,r_tau_f3,1.8186872909624012e-11,3.90818285,1.5020877597304860e-10,3.88647504
3,7,128,7.8125000000000000e-03,upwind,alternating,4,r_tau_m1,9.0205937169297587e-12,3.87330904,7.8028056238466093e-11,3.75406741
3,7,128,7.8125000000000000e-03,upwind,alternating,5,r_tau_m2,9.7871373007603530e-12,4.02265447,8.2490722586037180e-11,3.96476281
3,7,128,7.8125000000000000e-03,upwind,alternating,6,r_tau_m3,8.7251810901765166e-12,3.81448693,7.5060846427277284e-11,3.73836855
