# Componentwise numerical Kelvin-Voigt resultant errors
# r_tau is reconstructed from Trixi's discrete auxiliary gradient
# generated_utc=2026-08-01T15:55:26.622
# julia_version=1.11.6
# trixi_commit=b5b1747b7a9f0a0fc34452d4222d35b0a26ac943
# trixi_worktree=clean
# julia_threads=1
# command=degree-split clean convergence campaign assembled without altering numerical rows
# elixir=/home/sundriyal/Projects/Trixi-damped-clean/examples/damped_intrinsic_beam/elixir_mms_rich_physical.jl
# rich_mms_lambda=2.0
# rich_mms_profile=exp1
# polydegs=1,2,3
# refinement_levels=2,3,4,5,6,7
# sigmas=1.0
# auxiliary_fluxes=alternating,br1
# rock4_abstol_reltol=1.0e-12
polydeg,refinement_level,ncells,h,hyperbolic_flux,auxiliary_flux,component_index,component,l2_error,l2_eoc,linf_error,linf_eoc
1,2,4,2.5000000000000000e-01,upwind,alternating,1,r_tau_f1,5.8019898512121134e-03,NaN,1.6530851837205568e-02,NaN
1,2,4,2.5000000000000000e-01,upwind,alternating,2,r_tau_f2,1.3574959537028407e-02,NaN,2.7587845104689174e-02,NaN
1,2,4,2.5000000000000000e-01,upwind,alternating,3,r_tau_f3,1.7919819792070392e-02,NaN,4.8481310769910441e-02,NaN
1,2,4,2.5000000000000000e-01,upwind,alternating,4,r_tau_m1,3.7064595955481898e-03,NaN,8.8086198576577956e-03,NaN
1,2,4,2.5000000000000000e-01,upwind,alternating,5,r_tau_m2,3.8459618978895064e-03,NaN,1.1537652447733367e-02,NaN
1,2,4,2.5000000000000000e-01,upwind,alternating,6,r_tau_m3,7.8391237041928463e-03,NaN,2.1473530747149326e-02,NaN
1,3,8,1.2500000000000000e-01,upwind,alternating,1,r_tau_f1,2.1293683769047344e-03,1.44612222,9.1454730725539779e-03,0.85403136
1,3,8,1.2500000000000000e-01,upwind,alternating,2,r_tau_f2,7.7018983182677234e-03,0.81766192,1.7100054896070055e-02,0.69003182
1,3,8,1.2500000000000000e-01,upwind,alternating,3,r_tau_f3,7.3278161684237819e-03,1.29010091,2.2991248398136557e-02,1.07634390
1,3,8,1.2500000000000000e-01,upwind,alternating,4,r_tau_m1,2.0177750098187997e-03,0.87727647,6.4411065654415844e-03,0.45160743
1,3,8,1.2500000000000000e-01,upwind,alternating,5,r_tau_m2,2.6285675988491084e-03,0.54906763,8.5607509921565572e-03,0.43054044
1,3,8,1.2500000000000000e-01,upwind,alternating,6,r_tau_m3,3.0759325859732473e-03,1.34966851,1.0489349724496333e-02,1.03363418
