# Componentwise physical Kelvin-Voigt MMS errors
# generated_utc=2026-08-01T16:28:12.819
# julia_version=1.11.6
# trixi_commit=b5b1747b7a9f0a0fc34452d4222d35b0a26ac943
# trixi_worktree=clean
# julia_threads=1
# command=examples/damped_intrinsic_beam/results/mms_rich_exp1_clean_lambda_1p5_guard.csv examples/damped_intrinsic_beam/results/mms_rich_exp1_clean_lambda_1p5_guard_componentwise.csv examples/damped_intrinsic_beam/results/mms_rich_exp1_clean_lambda_1p5_guard_viscous_componentwise.csv
# elixir=/home/sundriyal/Projects/Trixi-damped-clean/examples/damped_intrinsic_beam/elixir_mms_rich_physical.jl
# rich_mms_lambda=1.5
# rich_mms_profile=exp1
# polydegs=2
# refinement_levels=4,5,6
# sigmas=1.0
# auxiliary_fluxes=alternating
# rock4_abstol_reltol=1.0e-12
polydeg,refinement_level,ncells,h,hyperbolic_flux,auxiliary_flux,component_index,block,component,l2_error,l2_eoc,linf_error,linf_eoc
2,4,16,6.2500000000000000e-02,upwind,alternating,1,u1,v1,2.4764794627600396e-05,NaN,1.0059964773390107e-04,NaN
2,4,16,6.2500000000000000e-02,upwind,alternating,2,u1,v2,3.5837556367433457e-05,NaN,1.3272422179966270e-04,NaN
2,4,16,6.2500000000000000e-02,upwind,alternating,3,u1,v3,3.2622748010006427e-05,NaN,1.2250248047607215e-04,NaN
2,4,16,6.2500000000000000e-02,upwind,alternating,4,u1,omega1,1.4933799706708033e-05,NaN,6.1275037273489374e-05,NaN
2,4,16,6.2500000000000000e-02,upwind,alternating,5,u1,omega2,1.0856265957778742e-05,NaN,6.1059039439648188e-05,NaN
2,4,16,6.2500000000000000e-02,upwind,alternating,6,u1,omega3,1.6912961629007590e-05,NaN,9.3399506894797923e-05,NaN
2,4,16,6.2500000000000000e-02,upwind,alternating,7,u2,f1,5.1199231320346147e-05,NaN,1.5827925345490712e-04,NaN
2,4,16,6.2500000000000000e-02,upwind,alternating,8,u2,f2,7.9745826358163351e-05,NaN,2.6068499834686065e-04,NaN
2,4,16,6.2500000000000000e-02,upwind,alternating,9,u2,f3,4.5022736323189294e-05,NaN,1.3186847838575488e-04,NaN
2,4,16,6.2500000000000000e-02,upwind,alternating,10,u2,m1,2.0927507102966638e-05,NaN,8.8446894141447352e-05,NaN
2,4,16,6.2500000000000000e-02,upwind,alternating,11,u2,m2,1.1808692328553718e-05,NaN,6.1454282028861051e-05,NaN
2,4,16,6.2500000000000000e-02,upwind,alternating,12,u2,m3,2.2498916794913010e-05,NaN,8.6184006644618449e-05,NaN
2,5,32,3.1250000000000000e-02,upwind,alternating,1,u1,v1,3.4602516169999317e-06,2.83934180,1.6521674744751635e-05,2.60619341
2,5,32,3.1250000000000000e-02,upwind,alternating,2,u1,v2,3.7799292518117523e-06,3.24504113,1.7401551836826457e-05,2.93114381
2,5,32,3.1250000000000000e-02,upwind,alternating,3,u1,v3,3.2153005995521241e-06,3.34285279,1.9047092788326836e-05,2.68516824
2,5,32,3.1250000000000000e-02,upwind,alternating,4,u1,omega1,1.3548779971397476e-06,3.46234643,7.0221340129350551e-06,3.12531802
2,5,32,3.1250000000000000e-02,upwind,alternating,5,u1,omega2,1.0928591024919059e-06,3.31234865,4.8427831771391538e-06,3.65629658
2,5,32,3.1250000000000000e-02,upwind,alternating,6,u1,omega3,1.7177913638122534e-06,3.29950258,1.0007122364541488e-05,3.22238776
2,5,32,3.1250000000000000e-02,upwind,alternating,7,u2,f1,1.0215355859658010e-05,2.32538269,3.6879848490656286e-05,2.10156753
2,5,32,3.1250000000000000e-02,upwind,alternating,8,u2,f2,8.9485046348874386e-06,3.15569049,3.3804863083020109e-05,2.94700485
2,5,32,3.1250000000000000e-02,upwind,alternating,9,u2,f3,5.9245985811049269e-06,2.92586443,2.0459216119483870e-05,2.68827697
2,5,32,3.1250000000000000e-02,upwind,alternating,10,u2,m1,2.7347752035341796e-06,2.93590631,1.1205756098808806e-05,2.98057149
2,5,32,3.1250000000000000e-02,upwind,alternating,11,u2,m2,1.9982301609153876e-06,2.56305454,7.0798760253287796e-06,3.11771754
2,5,32,3.1250000000000000e-02,upwind,alternating,12,u2,m3,2.7239121525285176e-06,3.04610346,1.1915716816135458e-05,2.85455443
2,6,64,1.5625000000000000e-02,upwind,alternating,1,u1,v1,5.1347795662748986e-07,2.75250270,2.6716227594647535e-06,2.62857172
2,6,64,1.5625000000000000e-02,upwind,alternating,2,u1,v2,4.9831965455059354e-07,2.92321585,2.5589768739564533e-06,2.76557695
2,6,64,1.5625000000000000e-02,upwind,alternating,3,u1,v3,4.3722066127418616e-07,2.87852014,2.3814898604257451e-06,2.99963450
2,6,64,1.5625000000000000e-02,upwind,alternating,4,u1,omega1,1.8676398294062607e-07,2.85887478,9.6865066190332527e-07,2.85786116
2,6,64,1.5625000000000000e-02,upwind,alternating,5,u1,omega2,1.7011226624035250e-07,2.68354833,8.1690149222879427e-07,2.56760239
2,6,64,1.5625000000000000e-02,upwind,alternating,6,u1,omega3,2.0054422671133366e-07,3.09856248,1.0525876614764229e-06,3.24901488
